Micron BGA codes

D9HVB    MT18VDDF12872LDY-335F1
JY184    MT29C2G24MAHLACG-75 IT ES
JW301    MT29C2G24MAJJAJC-5 IT
JY301    MT29C2G24MAJJAJC-5 IT ES
JW271    MT29C2G24MAJJAJC-6 IT
JY271    MT29C2G24MAJJAJC-6 IT ES
JW406    MT29C2G24MAJJAJG-6 IT
JW342    MT29C2G24MAJJAKA-6 IT
JY342    MT29C2G24MAJJAKA-6 IT ES
JW537    MT29C2G24MAJJAKC-6 IT
JW282    MT29C2G24MAJLAJA-6 IT
JY282    MT29C2G24MAJLAJA-6 IT QS
JW281    MT29C2G24MAJLAJA-75 IT
JY281    MT29C2G24MAJLAJA-75 IT QS
JW449    MT29C2G24MAKJAJC-5 IT
JW225    MT29C2G24MAKJAJC-6 IT
JY225    MT29C2G24MAKJAJC-6 IT ES
JW224    MT29C2G24MAKJAJC-75 IT
JY224    MT29C2G24MAKJAJC-75 IT ES
JW340    MT29C2G24MAKJAKA-6 IT
JY340    MT29C2G24MAKJAKA-6 IT ES
JW535    MT29C2G24MAKJAKC-6 IT
JW536    MT29C2G24MAKJAKC-75 IT
JW272    MT29C2G24MAKLACA-6 IT
JY272    MT29C2G24MAKLACA-6 IT ES
JW273    MT29C2G24MAKLACA-75 IT
JY273    MT29C2G24MAKLACA-75 IT ES
JW188    MT29C2G24MAKLACG-6 IT
JY188    MT29C2G24MAKLACG-6 IT ES
JX100    MT29C2G24MAKLACG-6 MS
JW189    MT29C2G24MAKLACG-75 IT
JY189    MT29C2G24MAKLACG-75 IT ES
JW206    MT29C2G24MAKLACL-6 IT
JY206    MT29C2G24MAKLACL-6 IT ES
JW205    MT29C2G24MAKLACL-75 IT
JY205    MT29C2G24MAKLACL-75 IT ES
JW276    MT29C2G24MAKLAHP-6 IT
JY276    MT29C2G24MAKLAHP-6 IT ES
JW277    MT29C2G24MAKLAHP-75 IT
JY277    MT29C2G24MAKLAHP-75 IT ES
JW496    MT29C2G24MAKLAJA- 0
JW398    MT29C2G24MAKLAJA-5 IT
JW190    MT29C2G24MAKLAJA-6 IT
JY190    MT29C2G24MAKLAJA-6 IT ES
JW191    MT29C2G24MAKLAJA-75 IT
JY191    MT29C2G24MAKLAJA-75 IT ES
JQ191    MT29C2G24MAKLAJA-75 IT QS
JW209    MT29C2G24MAKLAJF-6 IT
JY209    MT29C2G24MAKLAJF-6 IT ES
JW210    MT29C2G24MAKLAJF-75 IT
JY210    MT29C2G24MAKLAJF-75 IT ES
JW192    MT29C2G24MAKLAJG-6 IT
JY192    MT29C2G24MAKLAJG-6 IT ES
JW193    MT29C2G24MAKLAJG-75 IT
JY193    MT29C2G24MAKLAJG-75 IT ES
JX193    MT29C2G24MAKLAJG-75 MS
JW207    MT29C2G24MAKLAJH-6 IT
JY207    MT29C2G24MAKLAJH-6 IT ES
JW208    MT29C2G24MAKLAJH-75 IT
JY208    MT29C2G24MAKLAJH-75 IT ES
JW461    MT29C2G40MAJADCHX-75 IT
JW222    MT29C2G40MAJUCHY-75 IT
JY222    MT29C2G40MAJUCHY-75 IT ES
JW234    MT29C2G40MAJUCHY-8 IT
JY234    MT29C2G40MAJUCHY-8 IT ES
JQ234    MT29C2G40MAJUCHY-8 IT QS
JW539    MT29C2G48MAJAMAKC-5 IT
JY539    MT29C2G48MAJAMAKC-5 IT ES
JW540    MT29C2G48MAJAMAKC-6 IT
JY540    MT29C2G48MAJAMAKC-6 IT ES
JW465    MT29C2G48MAJAPAKD-6 IT
JY465    MT29C2G48MAJAPAKD-6 IT ES
JW469    MT29C2G48MAJJCJC-5 IT
JW402    MT29C2G48MAJLCJA-6 IT
JW533    MT29C2G48MAKAMAKC-5 IT
JY533    MT29C2G48MAKAMAKC-5 IT ES
JW534    MT29C2G48MAKAMAKC-6 IT
JY534    MT29C2G48MAKAMAKC-6 IT ES
JW504    MT29C2G48MAKAPAKD-5 IT
JY504    MT29C2G48MAKAPAKD-5 IT ES
JW505    MT29C2G48MAKAPAKD-6 IT
JY505    MT29C2G48MAKAPAKD-6 IT ES
JW403    MT29C2G48MAKJCJC-6 IT
JY446    MT29C2G48MAKJCJC-6 IT ES
JW445    MT29C2G48MAKJCJC-75 IT
JY445    MT29C2G48MAKJCJC-75 IT ES
JW497    MT29C2G48MAKLCJA-0
JW345    MT29C2G48MAKLCJA-5 IT
JW447    MT29C2G48MAKLCJA-54 IT
JW305    MT29C2G48MAKLCJA-6 IT
JY305    MT29C2G48MAKLCJA-6 IT ES
JW460    MT29C2G48MAKLCJA-6N IT
JW306    MT29C2G48MAKLCJA-75 IT
JY306    MT29C2G48MAKLCJA-75 IT ES
JW401    MT29C2G48MAKLCJC-6 IT
JY401    MT29C2G48MAKLCJC-6 IT ES
JW256    MT29C2G48MAKLCJI-6 IT
JY256    MT29C2G48MAKLCJI-6 IT ES
JW255    MT29C2G48MAKLCJI-75 IT
JY255    MT29C2G48MAKLCJI-75 IT ES
JW307    MT29C2G52MAJASEJZ-75 IT
JY307    MT29C2G52MAJASEJZ-75 IT ES
JWB42    MT29C3DAAN-DC
JWB43    MT29C3DABD-DC
JY429    MT29C3DAHY-DC
JY427    MT29C3DAJA-DC
JY402    MT29C3DAJI-DC
JY404    MT29C3DAJQ-DC
JWA47    MT29C3DALJ-DC
JY430    MT29C3DBHY-DC
JYA40    MT29C3DCAN-DC
JW260    MT29C4G12MAPNAHB-6 IT
JY260    MT29C4G12MAPNAHB-6 IT ES
JW259    MT29C4G12MAPNAHB-75 IT
JY259    MT29C4G12MAPNAHB-75 IT ES
JW214    MT29C4G24MANLAJA-6 IT
JY214    MT29C4G24MANLAJA-6 IT ES
JW213    MT29C4G24MANLAJA-75 IT
JY213    MT29C4G24MANLAJA-75 IT ES
JW407    MT29C4G24MAPLAJA-5 IT
JW215    MT29C4G24MAPLAJA-6 IT
JY215    MT29C4G24MAPLAJA-6 IT ES
JW212    MT29C4G24MAPLAJA-75 IT
JY212    MT29C4G24MAPLAJA-75 IT ES
JW280    MT29C4G24MAPLAJG-6 IT
JY280    MT29C4G24MAPLAJG-6 IT ES
JW279    MT29C4G24MAPLAJG-75 IT
JY279    MT29C4G24MAPLAJG-75 IT ES
JW462    MT29C4G40MAYADCHX-75 IT
JY462    MT29C4G40MAYADCHX-75 IT ES
JW599    MT29C4G40MAYAGCHX-6 IT
JY599    MT29C4G40MAYAGCHX-6 IT ES
JW970    MT29C4G48MAAGBAAKS-5 IT
JW737    MT29C4G48MAAGBAAKS-5 WT
JWB57    MT29C4G48MAAGBBAKS-48 IT
JWB71    MT29C4G48MAAGBBAKS-48 IT ES
JWB58    MT29C4G48MAAGBBAKS-48 WT
JWB73    MT29C4G48MAAGBBAKS-48 WT ES
JW957    MT29C4G48MAAGBBAKS-5 WT
JY957    MT29C4G48MAAGBBAKS-5 WT ES
JW738    MT29C4G48MAAHBAAKS-5 WT
JW937    MT29C4G48MAAHBBAKS-5 WT
JY937    MT29C4G48MAAHBBAKS-5 WT ES
JW566    MT29C4G48MANAMAKD-5 IT
JY566    MT29C4G48MANAMAKD-5 IT ES
JW567    MT29C4G48MANAMAKD-6 IT
JY567    MT29C4G48MANAMAKD-6 IT ES
JW562    MT29C4G48MANAPAKD-5 IT
JY562    MT29C4G48MANAPAKD-5 IT ES
JW563    MT29C4G48MANAPAKD-6 IT
JY563    MT29C4G48MANAPAKD-6 IT ES
JW334    MT29C4G48MANLCJA-6 IT
JY334    MT29C4G48MANLCJA-6 IT ES
JW335    MT29C4G48MANLCJA-75 IT
JY335    MT29C4G48MANLCJA-75 IT ES
JW600    MT29C4G48MANLCJG-6 IT
JW564    MT29C4G48MAPAMAKD-5 IT
JY564    MT29C4G48MAPAMAKD-5 IT ES
JW565    MT29C4G48MAPAMAKD-6 IT
JY565    MT29C4G48MAPAMAKD-6 IT ES
JW560    MT29C4G48MAPAPAKD-5 IT
JY560    MT29C4G48MAPAPAKD-5 IT ES
JW561    MT29C4G48MAPAPAKD-6 IT
JY561    MT29C4G48MAPAPAKD-6 IT ES
JW399    MT29C4G48MAPLCCA-6 IT
JY399    MT29C4G48MAPLCCA-6 IT ES
JW400    MT29C4G48MAPLCCA-75 IT
JY400    MT29C4G48MAPLCCA-75 IT ES
JW346    MT29C4G48MAPLCJA-5 IT
JW444    MT29C4G48MAPLCJA-54 IT
JW258    MT29C4G48MAPLCJA-6 IT
JY258    MT29C4G48MAPLCJA-6 IT ES
JW291    MT29C4G48MAPLCJA-6 L IT
JY291    MT29C4G48MAPLCJA-6 L IT ES
JW391    MT29C4G48MAPLCJA-6H IT
JW450    MT29C4G48MAPLCJA-6N IT
JW257    MT29C4G48MAPLCJA-75 IT
JY257    MT29C4G48MAPLCJA-75 IT ES
JQ257    MT29C4G48MAPLCJA-75 IT QS
JY292    MT29C4G48MAPLCJA-75 L IT ES
JW426    MT29C4G48MAPLCJG-6 IT
JY426    MT29C4G48MAPLCJG-6 IT ES
JW427    MT29C4G48MAPLCJI-5 IT
JW295    MT29C4G48MAPLCJI-6 IT
JY295    MT29C4G48MAPLCJI-6 IT ES
JW294    MT29C4G48MAPLCJI-75 IT
JY294    MT29C4G48MAPLCJI-75 IT ES
JW297    MT29C4G48MAPLCJQ-6 IT
JY297    MT29C4G48MAPLCJQ-6 IT ES
JW296    MT29C4G48MAPLCJQ-75 IT
JY296    MT29C4G48MAPLCJQ-75 IT ES
JW629    MT29C4G48MAYAMAKC-5 E IT
JW502    MT29C4G48MAYAMAKC-5 IT
JY502    MT29C4G48MAYAMAKC-5 IT ES
JW503    MT29C4G48MAYAMAKC-6 IT
JW509    MT29C4G48MAYAPAKD-5 IT
JY509    MT29C4G48MAYAPAKD-5 IT ES
JW510    MT29C4G48MAYAPAKD-6 IT
JY510    MT29C4G48MAYAPAKD-6 IT ES
JW591    MT29C4G48MAYAPAKQ-5 IT
JY591    MT29C4G48MAYAPAKQ-5 IT ES
JW741    MT29C4G48MAYBAAKQ-5 WT
JY741    MT29C4G48MAYBAAKQ-5 WT ES
JW739    MT29C4G48MAYBAAKS-5 WT
JY739    MT29C4G48MAYBAAKS-5 WT ES
JWB94    MT29C4G48MAYBBAHK-48 AIT
JWB09    MT29C4G48MAYBBAKS-48 IT
JWB62    MT29C4G48MAYBBAKS-48 IT ES
JWC04    MT29C4G48MAYBBAMR-48 IT
JWC11    MT29C4G48MAYBBAMR-48 IT ES
JW493    MT29C4G48MAZAMAKC-5 IT
JY493    MT29C4G48MAZAMAKC-5 IT ES
JW494    MT29C4G48MAZAMAKC-6 IT
JY494    MT29C4G48MAZAMAKC-6 IT ES
JW633    MT29C4G48MAZAMAMK-5 E IT
JW632    MT29C4G48MAZAMAMK-5 IT
JW511    MT29C4G48MAZAPACA-5 IT
JY511    MT29C4G48MAZAPACA-5 IT ES
JW512    MT29C4G48MAZAPACA-6 IT
JW699    MT29C4G48MAZAPAKD-5 E IT
JW464    MT29C4G48MAZAPAKD-5 IT
JY464    MT29C4G48MAZAPAKD-5 IT ES
JW454    MT29C4G48MAZAPAKD-6 IT
JY454    MT29C4G48MAZAPAKD-6 IT ES
JW476    MT29C4G48MAZAPAKQ-5 IT
JY476    MT29C4G48MAZAPAKQ-5 IT ES
JW475    MT29C4G48MAZAPAKQ-6 IT
JY475    MT29C4G48MAZAPAKQ-6 IT ES
JW456    MT29C4G48MAZAPAMC-5 IT
JY456    MT29C4G48MAZAPAMC-5 IT ES
JW455    MT29C4G48MAZAPAMC-6 IT
JW568    MT29C4G48MAZAPAMK-5 IT
JY568    MT29C4G48MAZAPAMK-5 IT ES
JW569    MT29C4G48MAZAPAMK-6 IT
JY569    MT29C4G48MAZAPAMK-6 IT ES
JW880    MT29C4G48MAZBAAKQ-5 IT
JW759    MT29C4G48MAZBAAKQ-5 WT
JW833    MT29C4G48MAZBAAKS-5 E WT
JW740    MT29C4G48MAZBAAKS-5 WT
JY740    MT29C4G48MAZBAAKS-5 WT ES
JWB92    MT29C4G48MAZBBAHK-48 AIT
JWC09    MT29C4G48MAZBBAKB-48 IT
JWC10    MT29C4G48MAZBBAKB-48 IT ES
JWB20    MT29C4G48MAZBBAKQ-48 IT
JWB65    MT29C4G48MAZBBAKQ-48 IT ES
JZ106    MT29C4G48MAZBBAKS-48 AT
JWB27    MT29C4G48MAZBBAKS-48 IT
JWB63    MT29C4G48MAZBBAKS-48 IT ES
JW308    MT29C4G72MAPATEJA-6 IT
JY308    MT29C4G72MAPATEJA-6 IT ES
JW309    MT29C4G72MAPATEJA-75 IT
JY309    MT29C4G72MAPATEJA-75 IT ES
JW701    MT29C4G72MAZAYCTE-5 E IT
JW674    MT29C4G72MAZAYCTE-5 IT
JW735    MT29C4G96MAAGBACKD-5 WT
JW736    MT29C4G96MAAHBACKD-5 WT
JW934    MT29C4G96MAAHBBCKD-5 WT
JY908    MT29C4G96MAAHBBCKD-5 WT ES
JW624    MT29C4G96MAYAPCJA-5 IT
JW626    MT29C4G96MAYAPCJG-5 IT
JW627    MT29C4G96MAYAPCJG-6 IT
JW520    MT29C4G96MAYAPCMJ-5 IT
JY520    MT29C4G96MAYAPCMJ-5 IT ES
JW521    MT29C4G96MAYAPCMJ-6 IT
JW733    MT29C4G96MAYBACJG-5 WT
JW731    MT29C4G96MAYBACKD-5 WT
JW700    MT29C4G96MAZAPCJA-5 E IT
JW498    MT29C4G96MAZAPCJA-5 IT
JY498    MT29C4G96MAZAPCJA-5 IT ES
JW499    MT29C4G96MAZAPCJA-6 IT
JW513    MT29C4G96MAZAPCJG-5 IT
JY513    MT29C4G96MAZAPCJG-5 IT ES
JW514    MT29C4G96MAZAPCJG-6 IT
JW518    MT29C4G96MAZAPCMJ-5 IT
JY518    MT29C4G96MAZAPCMJ-5 IT ES
JW519    MT29C4G96MAZAPCMJ-6 IT
JW881    MT29C4G96MAZBACJG-5 IT
JW734    MT29C4G96MAZBACJG-5 WT
JW834    MT29C4G96MAZBACKD-5 E WT
JW732    MT29C4G96MAZBACKD-5 WT
JWB44    MT29C4G96MAZBBCJG-48 IT
JWB28    MT29C4G96MAZBBCJG-5 IT
JYA07    MT29C4G96MAZBBCJV-48 IT
JW453    MT29C8G48MAPLDJA-5 IT
JW333    MT29C8G48MAPLDJA-6 IT
JY333    MT29C8G48MAPLDJA-6 IT ES
JW463    MT29C8G48MAPLDJA-6N IT
JW332    MT29C8G48MAPLDJA-75 IT
JY332    MT29C8G48MAPLDJA-75 IT ES
JW507    MT29C8G48MAZAPBJA-5 IT
JY507    MT29C8G48MAZAPBJA-5 IT ES
JW508    MT29C8G48MAZAPBJA-6 IT
JY508    MT29C8G48MAZAPBJA-6 IT ES
JW350    MT29C8G72MAPATFJR-6 IT
JY350    MT29C8G72MAPATFJR-6 IT ES
JW349    MT29C8G72MAPATFJR-75 IT
JY349    MT29C8G72MAPATFJR-75 IT ES
JW597    MT29C8G72MAZAXDJA-5 IT
JW598    MT29C8G72MAZAXDJA-6 IT
JW727    MT29C8G96MAAAEBACKD-5 WT
JW726    MT29C8G96MAAEAPCKD-5 IT
JY726    MT29C8G96MAAEAPCKD-5 IT ES
JY727    MT29C8G96MAAEBACKD-5 WT ES
JW935    MT29C8G96MAAEBBCKD-5 WT
JY935    MT29C8G96MAAEBBCKD-5 WT ES
JW725    MT29C8G96MAAFAPCKD-5 IT
JY725    MT29C8G96MAAFAPCKD-5 IT ES
JW728    MT29C8G96MAAFBACKD-5 WT
JY728    MT29C8G96MAAFBACKD-5 WT ES
JW936    MT29C8G96MAAFBBCKD-5 WT
JY936    MT29C8G96MAAFBBCKD-5 WT ES
JW522    MT29C8G96MAYAPDJA-5 IT
JY522    MT29C8G96MAYAPDJA-5 IT ES
JW529    MT29C8G96MAYAPDJA-6 IT
JW757    MT29C8G96MAYBADJV-5 WT
JW755    MT29C8G96MAYBADKD-5 WT
JW500    MT29C8G96MAZAPDJA-5 IT
JY500    MT29C8G96MAZAPDJA-5 IT ES
JW501    MT29C8G96MAZAPDJA-6 IT
JY501    MT29C8G96MAZAPDJA-6 IT ES
JY646    MT29C8G96MAZAPDJV-0 MS
JW515    MT29C8G96MAZAPDJV-5 IT
JY515    MT29C8G96MAZAPDJV-5 IT ES
JW516    MT29C8G96MAZAPDJV-6 IT
JY516    MT29C8G96MAZAPDJV-6 IT ES
JW909    MT29C8G96MAZBADJV-5 IT
JW758    MT29C8G96MAZBADJV-5 WT
JWA16    MT29C8G96MAZBADKD-5 E WT
JW910    MT29C8G96MAZBADKD-5 IT
JW798    MT29C8G96MAZBADKD-5 WT
JWB31    MT29C8G96MAZBBDJV-48 IT
JWB61    MT29C8G96MAZBBDKD-48 IT
JWB72    MT29C8G96MAZBBDKD-48 IT ES
JW248    MT29D26A12B21BAAJD-6 IT
JY248    MT29D26A12B21BAAJD-6 IT ES
JW247    MT29D26A12B21BAAJD-75 IT
JY247    MT29D26A12B21BAAJD-75 IT ES
JW250    MT29D26A12B41BAAHS-6 IT
JY250    MT29D26A12B41BAAHS-6 IT ES
JW249    MT29D26A12B41BAAHS-75 IT
JY249    MT29D26A12B41BAAHS-75 IT ES
JW354    MT29D26A16B21BAAJD-6 IT
JW446    MT29D26A22B41BABHS-5 IT
JW252    MT29D26A22B41BABHS-6 IT
JY252    MT29D26A22B41BABHS-6 IT ES
JW251    MT29D26A22B41BABHS-75 IT
JY251    MT29D26A22B41BABHS-75 IT ES
JW254    MT29D26A22B81BABHS-6 IT
JY254    MT29D26A22B81BABHS-6 IT ES
JW253    MT29D26A22B81BABHS-75 IT
JY253    MT29D26A22B81BABHS-75 IT ES
JW336    MT29D26A22BA1CABHS-6 IT
JY336    MT29D26A22BA1CABHS-6 IT ES
JW337    MT29D26A22BA1CABHS-75 IT
JY337    MT29D26A22BA1CABHS-75 IT ES
JW417    MT29D26A26B41BABHS-6 IT
JW286    MT29D28A12B41BAAHS-6 IT
JY286    MT29D28A12B41BAAHS-6 IT ES
JW285    MT29D28A12B41BAAHS-75 IT
JY285    MT29D28A12B41BAAHS-75 IT ES
JW284    MT29D28A22B41BABHS-6 IT
JY284    MT29D28A22B41BABHS-6 IT ES
JW283    MT29D28A22B41BABHS-75 IT
JY283    MT29D28A22B41BABHS-75 IT ES
JW289    MT29D28A22B81BABHS-6 IT
JY289    MT29D28A22B81BABHS-6 IT ES
JW290    MT29D28A22B81BABHS-75 IT
JY290    MT29D28A22B81BABHS-75 IT ES
JW338    MT29D28A22BA1CABHS-6 IT
JY338    MT29D28A22BA1CABHS-6 IT ES
JW339    MT29D28A22BA1CABHS-75 IT
JY339    MT29D28A22BA1CABHS-75 IT ES
JY484    MT29DZ2C2C4QEAJD-5 I ES.64H
JW484    MT29DZ2C2C4QEAJD-5 I.64H
JY485    MT29DZ2C2C4QEAJD-6 I ES.64H
JW485    MT29DZ2C2C4QEAJD-6 I.64H
JW486    MT29DZ2C2D4QEAJD-5 I.64H
NX257    MT29E128G08AUCBBH3-12:B
NW257    MT29E128G08AUCBBH3-12ES:B
NX258    MT29E128G08AUCBBH3-12IT:B
NW258    MT29E128G08AUCBBH3-12ITES:B
NX592    MT29E128G08CBCBBH6-6ES:B
NW716    MT29E128G08CBCCBH6-10:C
NX645    MT29E128G08CBCCBH6-10ES:C
NW909    MT29E128G08CBCCBH6-6:C
NQ368    MT29E128G08CECABH1-10:A
NX392    MT29E128G08CECABH1-10ES:A
NQ371    MT29E128G08CECABJ1-10:A
NX394    MT29E128G08CECABJ1-10ES:A
NW445    MT29E128G08CECABJ1-10Z:A
NW738    MT29E128G08CECDBJ4-10:D
NW563    MT29E128G08CECDBJ4-6:D
NX518    MT29E128G08CECDBJ4-6ES:D
NW262    MT29E128G08CKCBBH2-12:B
NX248    MT29E128G08CKCBBH2-12ES:B
NW589    MT29E128G08CKCCBH2-12QZ:C
NW263    MT29E128G08CMCBBH2-12:B
NX250    MT29E128G08CMCBBH2-12ES:B
NX776    MT29E1HT08ELHBBG1-3ES:B
NW858    MT29E1HT08EMHBBJ4-3:B
NW891    MT29E1HT08EMHBBJ4-3D:B
NX787    MT29E1HT08EMHBBJ4-3DES:B
NX768    MT29E1HT08EMHBBJ4-3ES:B
NW862    MT29E1T08CMHBBJ4-3:B
NX772    MT29E1T08CMHBBJ4-3ES:B
NW588    MT29E1T08CPCBBH8-6:B
NX527    MT29E1T08CPCBBH8-6ES:B
NW670    MT29E1T08CUCBBH8-10:B
NX594    MT29E1T08CUCBBH8-10ES:B
NW587    MT29E1T08CUCBBH8-6:B
NX526    MT29E1T08CUCBBH8-6ES:B
NW777    MT29E1T08CUCCBH8-10:C
NX652    MT29E1T08CUCCBH8-10ES:C
NW754    MT29E1T08CUCCBH8-6:C
NX655    MT29E1T08CUCCBH8-6ES:C
NW857    MT29E1T208ECHBBJ4-3:B
NW892    MT29E1T208ECHBBJ4-3D:B
NX788    MT29E1T208ECHBBJ4-3DES:B
NX767    MT29E1T208ECHBBJ4-3ES:B
NX800    MT29E256G08CBHBBJ4-3ES:B
NX649    MT29E256G08CECBBH6-10ES:B
NW584    MT29E256G08CECBBH6-6:B
NX523    MT29E256G08CECBBH6-6ES:B
NW771    MT29E256G08CECCBH6-10:C
NX657    MT29E256G08CECCBH6-10ES:C
NW757    MT29E256G08CECCBH6-6:C
NX659    MT29E256G08CECCBH6-6ES:C
NW739    MT29E256G08CKCDBJ5-10:D
NW564    MT29E256G08CKCDBJ5-6:D
NX519    MT29E256G08CKCDBJ5-6ES:D
NQ369    MT29E256G08CMCABH2-10:A
NX341    MT29E256G08CMCABH2-10ES:A
NQ372    MT29E256G08CMCABJ2-10:A
NX395    MT29E256G08CMCABJ2-10ES:A
NW522    MT29E256G08CMCABJ2-10IT:A
NW515    MT29E256G08CMCABJ2-10ITZ:A
NW453    MT29E256G08CMCABJ2-10Z:A
NW740    MT29E256G08CMCDBJ5-10:D
NW565    MT29E256G08CMCDBJ5-6:D
NX520    MT29E256G08CMCDBJ5-6ES:D
NW261    MT29E256G08CUCBBH3-12:B
NX249    MT29E256G08CUCBBH3-12ES:B
NW590    MT29E256G08CUCCBH3-12QZ:C
NW718    MT29E2T08CTCBBJ7-10:B
NW717    MT29E2T08CTCBBJ7-10ES:B
NW707    MT29E2T08CTCBBJ7-6:B
NX632    MT29E2T08CTCBBJ7-6ES:B
NW776    MT29E2T08CTCCBJ7-10:C
NX664    MT29E2T08CTCCBJ7-10ES:C
NW755    MT29E2T08CTCCBJ7-6:C
NX667    MT29E2T08CTCCBJ7-6ES:C
NW863    MT29E2T08CUHBBM4-3:B
NX773    MT29E2T08CUHBBM4-3ES:B
NW709    MT29E2T08CVCBBJ7-10:B
NX634    MT29E2T08CVCBBJ7-10ES:B
NW671    MT29E2T08CWCBBJ7-10:B
NX595    MT29E2T08CWCBBJ7-10ES:B
NW251    MT29E32G08AECBBH1-12:B
NX251    MT29E32G08AECBBH1-12ES:B
NW252    MT29E32G08AECBBH1-12IT:B
NX252    MT29E32G08AECBBH1-12ITES:B
NW177    MT29E32G08AMAAAC4:A
NX177    MT29E32G08AMAAAC4ES:A
NW855    MT29E384G08EBHBBJ4-3:B
NX765    MT29E384G08EBHBBJ4-3ES:B
NW896    MT29E3T08EQHBBG2-3:B
NX793    MT29E3T08EQHBBG2-3ES:B
NW859    MT29E3T08EUHBBM4-3:B
NW893    MT29E3T08EUHBBM4-3D:B
NX790    MT29E3T08EUHBBM4-3DES:B
NX769    MT29E3T08EUHBBM4-3ES:B
NW864    MT29E4T08CTHBBM5-3:B
NX774    MT29E4T08CTHBBM5-3ES:B
NW895    MT29E4T08EYHBBG9-3:B
NX792    MT29E4T08EYHBBG9-3ES:B
NW861    MT29E512G08CEHBBJ4-3:B
NX771    MT29E512G08CEHBBJ4-3ES:B
NW672    MT29E512G08CKCBBH7-10:B
NX596    MT29E512G08CKCBBH7-10ES:B
NW585    MT29E512G08CKCBBH7-6:B
NX524    MT29E512G08CKCBBH7-6ES:B
NW758    MT29E512G08CKCCBH7-6:C
NX658    MT29E512G08CKCCBH7-6ES:C
NW698    MT29E512G08CMCBBH7-10:B
NX622    MT29E512G08CMCBBH7-10ES:B
NW586    MT29E512G08CMCBBH7-6:B
NX525    MT29E512G08CMCBBH7-6ES:B
NW751    MT29E512G08CMCCBH7-10:C
NX653    MT29E512G08CMCCBH7-10ES:C
NW752    MT29E512G08CMCCBH7-6:C
NX654    MT29E512G08CMCCBH7-6ES:C
NW567    MT29E512G08CPCDBJ6-6:D
NX522    MT29E512G08CPCDBJ6-6ES:D
NQ370    MT29E512G08CUCABH3-10:A
NX393    MT29E512G08CUCABH3-10ES:A
NQ373    MT29E512G08CUCABJ3-10:A
NX396    MT29E512G08CUCABJ3-10ES:A
NW447    MT29E512G08CUCABJ3-10Z:A
NW741    MT29E512G08CUCDBJ6-10:D
NW566    MT29E512G08CUCDBJ6-6:D
NX521    MT29E512G08CUCDBJ6-6ES:D
NX253    MT29E64G08AKCBBH2-12:B
NW253    MT29E64G08AKCBBH2-12ES:B
NX254    MT29E64G08AKCBBH2-12IT:B
NW254    MT29E64G08AKCBBH2-12ITES:B
NX255    MT29E64G08AMCBBH2-12:B
NW255    MT29E64G08AMCBBH2-12ES:B
NX256    MT29E64G08AMCBBH2-12IT:B
NW256    MT29E64G08AMCBBH2-12ITES:B
NW357    MT29E64G08CBCABH1-10:A
NX416    MT29E64G08CBCABH1-10ES:A
NW667    MT29E64G08CBCDBJ4-10:D
NX593    MT29E64G08CBCDBJ4-10ES:D
NW632    MT29E64G08CBCDBJ4-6:D
NX567    MT29E64G08CBCDBJ4-6ES:D
NW260    MT29E64G08CECBBH1-12:B
NX247    MT29E64G08CECBBH1-12ES:B
NW178    MT29E64G08CMAAAC4:A
NX178    MT29E64G08CMAAAC4ES:A
NW860    MT29E6T08ETHBBM5-3:B
NW894    MT29E6T08ETHBBM5-3D:B
NX789    MT29E6T08ETHBBM5-3DES:B
NX770    MT29E6T08ETHBBM5-3ES:B
NW856    MT29E768G08EEHBBJ4-3:B
NW890    MT29E768G08EEHBBJ4-3D:B
NX786    MT29E768G08EEHBBJ4-3DES:B
NX766    MT29E768G08EEHBBJ4-3ES:B
NW403    MT29F128G08AECABH6-6:A
NX458    MT29F128G08AECABH6-6ES:A
NW408    MT29F128G08AECABH6-6IT:A
NW612    MT29F128G08AECBBH6-6:B
NX541    MT29F128G08AECBBH6-6ES:B
NW736    MT29F128G08AECBBH6-6IT:B
NW691    MT29F128G08AEEBBH6-12:B
NQ272    MT29F128G08AKAAAC5-IT:A
NX278    MT29F128G08AKAAAC5-ITES:A
NW420    MT29F128G08AKAAAC5-ITZ:A
NW421    MT29F128G08AKAAAC5-Z:A
NW285    MT29F128G08AKAAAC5:A
NX277    MT29F128G08AKAAAC5ES:A
NX355    MT29F128G08AKAABK3ES:A
NQ303    MT29F128G08AKCABH2-10:A
NW284    MT29F128G08AKCABH2-10:A –
NW327    MT29F128G08AKCABH2-10IT:A
NQ271    MT29F128G08AKCABH2-10IT:A –
NW423    MT29F128G08AKCABH2-10ITZ:A
NQ419    MT29F128G08AKCABH2-10Q:A
NW422    MT29F128G08AKCABH2-10Z:A
NX275    MT29F128G08AKCABH2-12ES:A
NX276    MT29F128G08AKCABH2-12ITES:A
NX385    MT29F128G08AKCBBJ2-ES:B
NQ363    MT29F128G08AKCBBJ2-IT:B
NX386    MT29F128G08AKCBBJ2-ITES:B
NQ362    MT29F128G08AKCBBJ2:B
NW608    MT29F128G08AKCDBJ5-6:D
NX537    MT29F128G08AKCDBJ5-6ES:D
NW914    MT29F128G08AKCDBJ5-6IT:D
NW687    MT29F128G08AKEDBJ5-12:D
NX612    MT29F128G08AKEDBJ5-12ES:D
NQ273    MT29F128G08AMAAAC5-IT:A
NX280    MT29F128G08AMAAAC5-ITES:A
NW424    MT29F128G08AMAAAC5-ITZ:A
